LocationName,Year,Month,Day,Item
Balehonnur,1996,2,5,6.5
Balehonnur,1996,2,6,6.15
Balehonnur,1996,2,7,5.59
Balehonnur,1996,2,8,5.5
Balehonnur,1996,2,9,5.93
Balehonnur,1996,2,10,5.37
Balehonnur,1996,2,11,5.36
Balehonnur,1996,2,12,5.37
Balehonnur,1996,2,13,5.27
Balehonnur,1996,2,14,5.09
Balehonnur,1996,2,15,5.02
Balehonnur,1996,2,16,4.95
Balehonnur,1996,2,17,4.98
Balehonnur,1996,2,18,4.93
Balehonnur,1996,2,19,4.89
Balehonnur,1996,2,20,4.79
Balehonnur,1996,2,21,4.77
Balehonnur,1996,2,22,4.69
Balehonnur,1996,2,23,4.56
Balehonnur,1996,2,24,4.46
Balehonnur,1996,2,25,4.4
Balehonnur,1996,2,26,4.39
Balehonnur,1996,2,27,4.39
Balehonnur,1996,2,28,4.37
Balehonnur,1996,2,29,4.15
Balehonnur,1996,3,1,4.15
Balehonnur,1996,3,2,4.15
Balehonnur,1996,3,3,4.13
Balehonnur,1996,3,4,4.1
Balehonnur,1996,3,5,4.03
Balehonnur,1996,3,6,3.85
Balehonnur,1996,3,7,3.76
Balehonnur,1996,3,8,3.72
Balehonnur,1996,3,9,3.65
Balehonnur,1996,3,10,3.58
Balehonnur,1996,3,11,3.56
Balehonnur,1996,3,12,3.59
Balehonnur,1996,3,13,3.55
Balehonnur,1996,3,14,3.46
Balehonnur,1996,3,15,3.47
Balehonnur,1996,3,16,3.4
Balehonnur,1996,3,17,3.34
Balehonnur,1996,3,18,3.26
Balehonnur,1996,3,19,3.2
Balehonnur,1996,3,20,3.17
Balehonnur,1996,3,21,3.14
Balehonnur,1996,3,22,3.1
Balehonnur,1996,3,23,3.04
Balehonnur,1996,3,24,2.96
Balehonnur,1996,3,25,2.93
Balehonnur,1996,3,26,2.9
Balehonnur,1996,3,27,2.84
Balehonnur,1996,3,28,2.84
Balehonnur,1996,3,29,2.8
Balehonnur,1996,3,30,2.84
Balehonnur,1996,3,31,2.94
Balehonnur,1996,4,1,2.72
Balehonnur,1996,4,2,2.68
Balehonnur,1996,4,3,3.5
Balehonnur,1996,4,4,4.84
Balehonnur,1996,4,5,4.62
Balehonnur,1996,4,6,4.53
Balehonnur,1996,4,7,4.4
Balehonnur,1996,4,8,4.27
Balehonnur,1996,4,9,4.12
Balehonnur,1996,4,10,4.05
Balehonnur,1996,4,11,4.03
Balehonnur,1996,4,12,4.52
Balehonnur,1996,4,13,4.99
Balehonnur,1996,4,14,4.59
Balehonnur,1996,4,15,4.43
Balehonnur,1996,4,16,4.25
Balehonnur,1996,4,17,4.27
Balehonnur,1996,4,18,4.16
Balehonnur,1996,4,19,4.04
Balehonnur,1996,4,20,3.94
Balehonnur,1996,4,21,3.86
Balehonnur,1996,4,22,3.78
Balehonnur,1996,4,23,4.79
Balehonnur,1996,4,24,6.13
Balehonnur,1996,4,25,5.39
Balehonnur,1996,4,26,5.02
Balehonnur,1996,4,27,4.84
Balehonnur,1996,4,28,4.72
Balehonnur,1996,4,29,4.57
Balehonnur,1996,4,30,4.51
Balehonnur,1996,5,1,4.43
Balehonnur,1996,5,2,4.28
Balehonnur,1996,5,3,4.14
Balehonnur,1996,5,4,4.07
Balehonnur,1996,5,5,3.89
Balehonnur,1996,5,6,3.78
Balehonnur,1996,5,7,3.73
Balehonnur,1996,5,8,3.66
Balehonnur,1996,5,9,3.63
Balehonnur,1996,5,10,3.6
Balehonnur,1996,5,11,3.56
Balehonnur,1996,5,12,3.51
Balehonnur,1996,5,13,3.45
Balehonnur,1996,5,14,3.45
Balehonnur,1996,5,15,3.4
Balehonnur,1996,5,16,3.39
Balehonnur,1996,5,17,3.32
Balehonnur,1996,5,18,3.27
Balehonnur,1996,5,19,3.22
Balehonnur,1996,5,20,3.21
Balehonnur,1996,5,21,3.2
Balehonnur,1996,5,22,3.18
Balehonnur,1996,5,23,3.37
Balehonnur,1996,5,24,3.71
