LocationName,Year,Month,Day,Item
Rattihalli,1996,1,22,0
Rattihalli,1996,1,23,0
Rattihalli,1996,1,24,0
Rattihalli,1996,1,25,0
Rattihalli,1996,1,26,0
Rattihalli,1996,1,27,0
Rattihalli,1996,1,28,0
Rattihalli,1996,1,29,0
Rattihalli,1996,1,30,0
Rattihalli,1996,1,31,0
Rattihalli,1996,2,1,0
Rattihalli,1996,2,2,0
Rattihalli,1996,2,3,0
Rattihalli,1996,2,4,0
Rattihalli,1996,2,5,0
Rattihalli,1996,2,6,0
Rattihalli,1996,2,7,0
Rattihalli,1996,2,8,0
Rattihalli,1996,2,9,0
Rattihalli,1996,2,10,0
Rattihalli,1996,2,11,0
Rattihalli,1996,2,12,0
Rattihalli,1996,2,13,0
Rattihalli,1996,2,14,0
Rattihalli,1996,2,15,0
Rattihalli,1996,2,16,0
Rattihalli,1996,2,17,0
Rattihalli,1996,2,18,0
Rattihalli,1996,2,19,0
Rattihalli,1996,2,20,0
Rattihalli,1996,2,21,0
Rattihalli,1996,2,22,0
Rattihalli,1996,2,23,0
Rattihalli,1996,2,24,0
Rattihalli,1996,2,25,0
Rattihalli,1996,2,26,0
Rattihalli,1996,2,27,0
Rattihalli,1996,2,28,0
Rattihalli,1996,2,29,0
Rattihalli,1996,3,1,0
Rattihalli,1996,3,2,0
Rattihalli,1996,3,3,0
Rattihalli,1996,3,4,0
Rattihalli,1996,3,5,0
Rattihalli,1996,3,6,0
Rattihalli,1996,3,7,0
Rattihalli,1996,3,8,0
Rattihalli,1996,3,9,0
Rattihalli,1996,3,10,0
Rattihalli,1996,3,11,0
Rattihalli,1996,3,12,0
Rattihalli,1996,3,13,0
Rattihalli,1996,3,14,0
Rattihalli,1996,3,15,0
Rattihalli,1996,3,16,0
Rattihalli,1996,3,17,0
Rattihalli,1996,3,18,0
Rattihalli,1996,3,19,0
Rattihalli,1996,3,20,0
Rattihalli,1996,3,21,0
Rattihalli,1996,3,22,0
Rattihalli,1996,3,23,0
Rattihalli,1996,3,24,0
Rattihalli,1996,3,25,0
Rattihalli,1996,3,26,0
Rattihalli,1996,3,27,0
Rattihalli,1996,3,28,0
Rattihalli,1996,3,29,0
Rattihalli,1996,3,30,0
Rattihalli,1996,3,31,0
Rattihalli,1996,4,1,0
Rattihalli,1996,4,2,0
Rattihalli,1996,4,3,0
Rattihalli,1996,4,4,0
Rattihalli,1996,4,5,0
Rattihalli,1996,4,6,0
Rattihalli,1996,4,7,0
Rattihalli,1996,4,8,0
Rattihalli,1996,4,9,0
Rattihalli,1996,4,10,0
Rattihalli,1996,4,11,0
Rattihalli,1996,4,12,0
Rattihalli,1996,4,13,0
Rattihalli,1996,4,14,0
Rattihalli,1996,4,15,0
Rattihalli,1996,4,16,0
Rattihalli,1996,4,17,0
Rattihalli,1996,4,18,0
Rattihalli,1996,4,19,0
Rattihalli,1996,4,20,0
Rattihalli,1996,4,21,0
Rattihalli,1996,4,22,0
Rattihalli,1996,4,23,0
Rattihalli,1996,4,24,0
Rattihalli,1996,4,25,0
Rattihalli,1996,4,26,0
Rattihalli,1996,4,27,0
Rattihalli,1996,4,28,0
Rattihalli,1996,4,29,0
Rattihalli,1996,4,30,0
Rattihalli,1996,5,1,0
Rattihalli,1996,5,2,0
Rattihalli,1996,5,3,0
Rattihalli,1996,5,4,0
Rattihalli,1996,5,5,0
Rattihalli,1996,5,6,0
Rattihalli,1996,5,7,0
Rattihalli,1996,5,8,0
Rattihalli,1996,5,9,0
Rattihalli,1996,5,10,0
Rattihalli,1996,5,11,0
Rattihalli,1996,5,12,0
Rattihalli,1996,5,13,0
Rattihalli,1996,5,14,0
Rattihalli,1996,5,15,0
Rattihalli,1996,5,16,0
Rattihalli,1996,5,17,0
Rattihalli,1996,5,18,0
Rattihalli,1996,5,19,0
Rattihalli,1996,5,20,0
Rattihalli,1996,5,21,0
Rattihalli,1996,5,22,0
Rattihalli,1996,5,23,0
Rattihalli,1996,5,24,0
Rattihalli,1996,5,25,0
Rattihalli,1996,5,26,0
Rattihalli,1996,5,27,0
Rattihalli,1996,5,28,0
Rattihalli,1996,5,29,0
Rattihalli,1996,5,30,0
Rattihalli,1996,5,31,0
Rattihalli,1996,6,1,0
Rattihalli,1996,6,2,0
Rattihalli,1996,6,3,0
Rattihalli,1996,6,4,0
Rattihalli,1996,6,5,0
Rattihalli,1996,6,6,0
Rattihalli,1996,6,7,0
Rattihalli,1996,6,8,0
Rattihalli,1996,6,9,0
Rattihalli,1996,6,10,0
Rattihalli,1996,6,11,0
Rattihalli,1996,6,12,0
Rattihalli,1996,6,13,0
Rattihalli,1996,6,14,0
Rattihalli,1996,6,15,0
Rattihalli,1996,6,16,0
Rattihalli,1996,6,17,0
Rattihalli,1996,6,18,0
Rattihalli,1996,6,19,0
Rattihalli,1996,6,20,0
Rattihalli,1996,6,21,0
Rattihalli,1996,6,22,0
Rattihalli,1996,6,23,0
Rattihalli,1996,6,24,0
Rattihalli,1996,6,25,0
Rattihalli,1996,6,26,0
Rattihalli,1996,6,27,0
Rattihalli,1996,6,28,0
Rattihalli,1996,6,29,0
Rattihalli,1996,6,30,0
Rattihalli,1996,7,1,0
Rattihalli,1996,7,2,0
Rattihalli,1996,7,3,0
Rattihalli,1996,7,4,0
Rattihalli,1996,7,5,0
Rattihalli,1996,7,6,0
Rattihalli,1996,7,7,0
Rattihalli,1996,7,8,0
Rattihalli,1996,7,9,0
Rattihalli,1996,7,10,0
Rattihalli,1996,7,11,0
Rattihalli,1996,7,12,0
Rattihalli,1996,7,13,0
Rattihalli,1996,7,14,0
Rattihalli,1996,7,15,0
Rattihalli,1996,7,16,0
Rattihalli,1996,7,17,0
Rattihalli,1996,7,18,0
Rattihalli,1996,7,19,0
Rattihalli,1996,7,20,0
Rattihalli,1996,7,21,0
Rattihalli,1996,7,22,0
Rattihalli,1996,7,23,0
Rattihalli,1996,7,24,0
Rattihalli,1996,7,25,0
Rattihalli,1996,7,26,15.47
Rattihalli,1996,7,27,16.56
Rattihalli,1996,7,28,21.03
Rattihalli,1996,7,29,34.8
Rattihalli,1996,7,30,44.63
Rattihalli,1996,7,31,36.85
Rattihalli,1996,8,1,24.32
Rattihalli,1996,8,2,20.1
Rattihalli,1996,8,3,24.21
Rattihalli,1996,8,4,25.74
Rattihalli,1996,8,5,24.9
Rattihalli,1996,8,6,21.18
Rattihalli,1996,8,7,18.04
Rattihalli,1996,8,8,23.89
